kind(0=King;1=Plummer;2..4=Dehnen g=0/1/2), W0(NaN for published), SFE, F_b
0.000000, 9.000000, 0.580000, 0.997600
0.000000, 9.000000, 0.600000, 0.998678
0.000000, 10.000000, 0.000000, 0.000000
0.000000, 10.000000, 0.015000, 0.000000
0.000000, 10.000000, 0.020000, 0.000000
0.000000, 10.000000, 0.040000, 0.089345
0.000000, 10.000000, 0.060000, 0.165543
0.000000, 10.000000, 0.080000, 0.230194
0.000000, 10.000000, 0.100000, 0.293153
0.000000, 10.000000, 0.120000, 0.356426
0.000000, 10.000000, 0.140000, 0.420162
0.000000, 10.000000, 0.160000, 0.483633
0.000000, 10.000000, 0.180000, 0.545478
0.000000, 10.000000, 0.200000, 0.604456
0.000000, 10.000000, 0.220000, 0.659567
0.000000, 10.000000, 0.240000, 0.709952
0.000000, 10.000000, 0.260000, 0.755315
0.000000, 10.000000, 0.280000, 0.795343
0.000000, 10.000000, 0.300000, 0.830375
0.000000, 10.000000, 0.320000, 0.860679
0.000000, 10.000000, 0.340000, 0.886605
0.000000, 10.000000, 0.360000, 0.908608
0.000000, 10.000000, 0.380000, 0.927122
0.000000, 10.000000, 0.400000, 0.942592
0.000000, 10.000000, 0.420000, 0.955391
0.000000, 10.000000, 0.440000, 0.965878
0.000000, 10.000000, 0.460000, 0.974382
0.000000, 10.000000, 0.480000, 0.981191
0.000000, 10.000000, 0.500000, 0.986560
0.000000, 10.000000, 0.520000, 0.990711
0.000000, 10.000000, 0.540000, 0.993846
0.000000, 10.000000, 0.560000, 0.996139
0.000000, 10.000000, 0.580000, 0.997749
0.000000, 10.000000, 0.600000, 0.998816
0.000000, 12.000000, 0.000000, 0.000000
0.000000, 12.000000, 0.010000, 0.000000
0.000000, 12.000000, 0.015000, 0.000000
0.000000, 12.000000, 0.020000, 0.022120
0.000000, 12.000000, 0.040000, 0.067681
0.000000, 12.000000, 0.060000, 0.106430
0.000000, 12.000000, 0.080000, 0.149349
0.000000, 12.000000, 0.100000, 0.199230
0.000000, 12.000000, 0.120000, 0.256812
0.000000, 12.000000, 0.140000, 0.321706
0.000000, 12.000000, 0.160000, 0.391936
0.000000, 12.000000, 0.180000, 0.464158
0.000000, 12.000000, 0.200000, 0.535478
0.000000, 12.000000, 0.220000, 0.602921
0.000000, 12.000000, 0.240000, 0.664613
0.000000, 12.000000, 0.260000, 0.719694
0.000000, 12.000000, 0.280000, 0.767915
0.000000, 12.000000, 0.300000, 0.809528
0.000000, 12.000000, 0.320000, 0.844978
0.000000, 12.000000, 0.340000, 0.874922
0.000000, 12.000000, 0.360000, 0.900072
0.000000, 12.000000, 0.380000, 0.920943
0.000000, 12.000000, 0.400000, 0.938203
0.000000, 12.000000, 0.420000, 0.952339
0.000000, 12.000000, 0.440000, 0.963819
0.000000, 12.000000, 0.460000, 0.973043
0.000000, 12.000000, 0.480000, 0.980359
0.000000, 12.000000, 0.500000, 0.986083
0.000000, 12.000000, 0.520000, 0.990471
0.000000, 12.000000, 0.540000, 0.993755
0.000000, 12.000000, 0.560000, 0.996133
0.000000, 12.000000, 0.580000, 0.997784
0.000000, 12.000000, 0.600000, 0.998862
0.000000, 14.000000, 0.000000, 0.000000
0.000000, 14.000000, 0.010000, 0.000000
0.000000, 14.000000, 0.015000, 0.015201
0.000000, 14.000000, 0.020000, 0.022097
0.000000, 14.000000, 0.040000, 0.047726
0.000000, 14.000000, 0.060000, 0.079272
0.000000, 14.000000, 0.080000, 0.121203
0.000000, 14.000000, 0.100000, 0.175311
0.000000, 14.000000, 0.120000, 0.240905
0.000000, 14.000000, 0.140000, 0.314989
0.000000, 14.000000, 0.160000, 0.393310
0.000000, 14.000000, 0.180000, 0.471316
0.000000, 14.000000, 0.200000, 0.545606
0.000000, 14.000000, 0.220000, 0.614053
0.000000, 14.000000, 0.240000, 0.675276
0.000000, 14.000000, 0.260000, 0.729212
0.000000, 14.000000, 0.280000, 0.775983
0.000000, 14.000000, 0.300000, 0.816066
0.000000, 14.000000, 0.320000, 0.850148
0.000000, 14.000000, 0.340000, 0.878888
0.000000, 14.000000, 0.360000, 0.903005
0.000000, 14.000000, 0.380000, 0.923047
0.000000, 14.000000, 0.400000, 0.939656
0.000000, 14.000000, 0.420000, 0.953283
0.000000, 14.000000, 0.440000, 0.964377
0.000000, 14.000000, 0.460000, 0.973321
0.000000, 14.000000, 0.480000, 0.980445
0.000000, 14.000000, 0.500000, 0.986044
0.000000, 14.000000, 0.520000, 0.990362
0.000000, 14.000000, 0.540000, 0.993613
0.000000, 14.000000, 0.560000, 0.995989
0.000000, 14.000000, 0.580000, 0.997657
0.000000, 14.000000, 0.600000, 0.998762
0.000000, 16.000000, 0.000000, 0.000000
0.000000, 16.000000, 0.015000, 0.012623
0.000000, 16.000000, 0.020000, 0.017270
0.000000, 16.000000, 0.040000, 0.042047
0.000000, 16.000000, 0.060000, 0.081476
0.000000, 16.000000, 0.080000, 0.136141
0.000000, 16.000000, 0.100000, 0.202806
0.000000, 16.000000, 0.120000, 0.277171
0.000000, 16.000000, 0.140000, 0.354808
0.000000, 16.000000, 0.160000, 0.432155
0.000000, 16.000000, 0.180000, 0.506621
0.000000, 16.000000, 0.200000, 0.576039
0.000000, 16.000000, 0.220000, 0.639261
0.000000, 16.000000, 0.240000, 0.695711
0.000000, 16.000000, 0.260000, 0.745430
0.000000, 16.000000, 0.280000, 0.788570
0.000000, 16.000000, 0.300000, 0.825740
0.000000, 16.000000, 0.320000, 0.857455
0.000000, 16.000000, 0.340000, 0.884389
0.000000, 16.000000, 0.360000, 0.907046
0.000000, 16.000000, 0.380000, 0.925992
0.000000, 16.000000, 0.400000, 0.941712
0.000000, 16.000000, 0.420000, 0.954694
0.000000, 16.000000, 0.440000, 0.965312
0.000000, 16.000000, 0.460000, 0.973904
0.000000, 16.000000, 0.480000, 0.980790
0.000000, 16.000000, 0.500000, 0.986212
0.000000, 16.000000, 0.520000, 0.990417
0.000000, 16.000000, 0.540000, 0.993600
0.000000, 16.000000, 0.560000, 0.995942
0.000000, 16.000000, 0.580000, 0.997600
0.000000, 16.000000, 0.600000, 0.998710
0.000000, 18.000000, 0.000000, 0.000000
0.000000, 18.000000, 0.015000, 0.010299
0.000000, 18.000000, 0.020000, 0.015274
0.000000, 18.000000, 0.040000, 0.047912
0.000000, 18.000000, 0.060000, 0.097144
0.000000, 18.000000, 0.080000, 0.157014
0.000000, 18.000000, 0.100000, 0.224220
0.000000, 18.000000, 0.120000, 0.296156
0.000000, 18.000000, 0.140000, 0.370153
0.000000, 18.000000, 0.160000, 0.444148
0.000000, 18.000000, 0.180000, 0.515435
0.000000, 18.000000, 0.200000, 0.582330
0.000000, 18.000000, 0.220000, 0.643608
0.000000, 18.000000, 0.240000, 0.698712
0.000000, 18.000000, 0.260000, 0.747452
0.000000, 18.000000, 0.280000, 0.789938
0.000000, 18.000000, 0.300000, 0.826665
0.000000, 18.000000, 0.320000, 0.858121
0.000000, 18.000000, 0.340000, 0.884832
0.000000, 18.000000, 0.360000, 0.907333
0.000000, 18.000000, 0.380000, 0.926182
0.000000, 18.000000, 0.400000, 0.941882
0.000000, 18.000000, 0.420000, 0.954800
0.000000, 18.000000, 0.440000, 0.965408
0.000000, 18.000000, 0.460000, 0.973998
0.000000, 18.000000, 0.480000, 0.980859
0.000000, 18.000000, 0.500000, 0.986276
0.000000, 18.000000, 0.520000, 0.990470
0.000000, 18.000000, 0.540000, 0.993647
0.000000, 18.000000, 0.560000, 0.995980
0.000000, 18.000000, 0.580000, 0.997629
0.000000, 18.000000, 0.600000, 0.998731
0.000000, 20.000000, 0.000000, 0.000000
0.000000, 20.000000, 0.015000, 0.010105
0.000000, 20.000000, 0.020000, 0.016481
0.000000, 20.000000, 0.040000, 0.052849
0.000000, 20.000000, 0.060000, 0.100031
0.000000, 20.000000, 0.080000, 0.155678
0.000000, 20.000000, 0.100000, 0.218833
0.000000, 20.000000, 0.120000, 0.287753
0.000000, 20.000000, 0.140000, 0.360360
0.000000, 20.000000, 0.160000, 0.433634
0.000000, 20.000000, 0.180000, 0.505422
0.000000, 20.000000, 0.200000, 0.573380
0.000000, 20.000000, 0.220000, 0.635807
0.000000, 20.000000, 0.240000, 0.692126
0.000000, 20.000000, 0.260000, 0.742126
0.000000, 20.000000, 0.280000, 0.785677
0.000000, 20.000000, 0.300000, 0.823344
0.000000, 20.000000, 0.320000, 0.855548
0.000000, 20.000000, 0.340000, 0.882860
0.000000, 20.000000, 0.360000, 0.905870
0.000000, 20.000000, 0.380000, 0.925132
0.000000, 20.000000, 0.400000, 0.941138
0.000000, 20.000000, 0.420000, 0.954308
0.000000, 20.000000, 0.440000, 0.965084
0.000000, 20.000000, 0.460000, 0.973787
0.000000, 20.000000, 0.480000, 0.980740
0.000000, 20.000000, 0.500000, 0.986228
0.000000, 20.000000, 0.520000, 0.990462
0.000000, 20.000000, 0.540000, 0.993661
0.000000, 20.000000, 0.560000, 0.996006
0.000000, 20.000000, 0.580000, 0.997657
0.000000, 20.000000, 0.600000, 0.998756
1.000000, nan, 0.000000, 0.000000
1.000000, nan, 0.160000, 0.000000
1.000000, nan, 0.180000, 0.000000
1.000000, nan, 0.200000, 0.479281
1.000000, nan, 0.220000, 0.640918
1.000000, nan, 0.240000, 0.728400
1.000000, nan, 0.260000, 0.787837
1.000000, nan, 0.280000, 0.831510
1.000000, nan, 0.300000, 0.864710
1.000000, nan, 0.320000, 0.890528
1.000000, nan, 0.340000, 0.910962
1.000000, nan, 0.360000, 0.927352
1.000000, nan, 0.380000, 0.940528
1.000000, nan, 0.400000, 0.951244
1.000000, nan, 0.420000, 0.960016
1.000000, nan, 0.440000, 0.967226
1.000000, nan, 0.460000, 0.973148
1.000000, nan, 0.480000, 0.978045
1.000000, nan, 0.500000, 0.982084
1.000000, nan, 0.520000, 0.985426
1.000000, nan, 0.540000, 0.988188
1.000000, nan, 0.560000, 0.990470
1.000000, nan, 0.580000, 0.992352
1.000000, nan, 0.600000, 0.993899
2.000000, nan, 0.000000, 0.000000
2.000000, nan, 0.120000, 0.000000
2.000000, nan, 0.140000, 0.000000
2.000000, nan, 0.160000, 0.082724
2.000000, nan, 0.180000, 0.236963
2.000000, nan, 0.200000, 0.325992
2.000000, nan, 0.220000, 0.397506
2.000000, nan, 0.240000, 0.458174
2.000000, nan, 0.260000, 0.509928
2.000000, nan, 0.280000, 0.555189
2.000000, nan, 0.300000, 0.594964
2.000000, nan, 0.320000, 0.630209
2.000000, nan, 0.340000, 0.661630
2.000000, nan, 0.360000, 0.689850
2.000000, nan, 0.380000, 0.715235
2.000000, nan, 0.400000, 0.738193
2.000000, nan, 0.420000, 0.759035
2.000000, nan, 0.440000, 0.778112
2.000000, nan, 0.460000, 0.795506
2.000000, nan, 0.480000, 0.811519
2.000000, nan, 0.500000, 0.826256
2.000000, nan, 0.520000, 0.839843
2.000000, nan, 0.540000, 0.852406
2.000000, nan, 0.560000, 0.864066
2.000000, nan, 0.580000, 0.874922
2.000000, nan, 0.600000, 0.885022
3.000000, nan, 0.000000, 0.000000
3.000000, nan, 0.040000, 0.000000
3.000000, nan, 0.060000, 0.000896
3.000000, nan, 0.080000, 0.023674
3.000000, nan, 0.100000, 0.114740
3.000000, nan, 0.120000, 0.217815
3.000000, nan, 0.140000, 0.310535
3.000000, nan, 0.160000, 0.389567
3.000000, nan, 0.180000, 0.457465
3.000000, nan, 0.200000, 0.515417
3.000000, nan, 0.220000, 0.565371
3.000000, nan, 0.240000, 0.608592
3.000000, nan, 0.260000, 0.646392
3.000000, nan, 0.280000, 0.679455
3.000000, nan, 0.300000, 0.708662
3.000000, nan, 0.320000, 0.734619
