W0, SFE_target, SFE_actual, seed, F_bound, n_iter, N_part
3.000000, 0.250000, 0.250000, 61456587.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 81448226.000000, 0.000000, 15.000000, 100000.000000
3.000000, 0.250000, 0.250000, 82083012.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 45469154.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 52496367.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 72811651.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 29361408.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 79434779.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 32962450.000000, 0.000000, 17.000000, 100000.000000
3.000000, 0.250000, 0.250000, 26506856.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 89629819.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 94457381.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 31992191.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 21120022.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 34678111.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 46985364.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 69844643.000000, 0.000000, 15.000000, 100000.000000
3.000000, 0.250000, 0.250000, 88965804.000000, 0.000000, 15.000000, 100000.000000
3.000000, 0.250000, 0.250000, 49528176.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 55918372.000000, 0.000000, 17.000000, 100000.000000
3.000000, 0.250000, 0.250000, 22310470.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 20987862.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 64802395.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 26037946.000000, 0.000000, 15.000000, 100000.000000
3.000000, 0.250000, 0.250000, 50740683.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 28365848.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 52158939.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 35978930.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 75243680.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 68268742.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 69203331.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 53675395.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 57763913.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 21576478.000000, 0.000000, 15.000000, 100000.000000
3.000000, 0.250000, 0.250000, 78558616.000000, 0.000000, 15.000000, 100000.000000
3.000000, 0.250000, 0.250000, 60778520.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 46925034.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 90920973.000000, 0.000000, 15.000000, 100000.000000
3.000000, 0.250000, 0.250000, 91222399.000000, 0.000000, 15.000000, 100000.000000
3.000000, 0.250000, 0.250000, 20587371.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 41855007.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 92568460.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 77985403.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 23479191.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 64369256.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 95031986.000000, 0.000000, 15.000000, 100000.000000
3.000000, 0.250000, 0.250000, 78252204.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 72724307.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 30229276.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 35824221.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 94827001.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 56117659.000000, 0.000000, 15.000000, 100000.000000
3.000000, 0.250000, 0.250000, 33740998.000000, 0.000000, 15.000000, 100000.000000
3.000000, 0.250000, 0.250000, 1430843.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 54448887.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 76299456.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 69109175.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 56484430.000000, 0.000000, 17.000000, 100000.000000
3.000000, 0.250000, 0.250000, 47570624.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 23277905.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 54671834.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 94128361.000000, 0.000000, 15.000000, 100000.000000
3.000000, 0.250000, 0.250000, 37769264.000000, 0.000000, 15.000000, 100000.000000
3.000000, 0.250000, 0.250000, 63397042.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 39752960.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 96031735.000000, 0.000000, 17.000000, 100000.000000
3.000000, 0.250000, 0.250000, 67137610.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 85807528.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 85983931.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 45897508.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 25668698.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 3681249.000000, 0.000000, 15.000000, 100000.000000
3.000000, 0.250000, 0.250000, 65482549.000000, 0.000000, 15.000000, 100000.000000
3.000000, 0.250000, 0.250000, 27417190.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 3315930.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 5314216.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 42662085.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 31899807.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 1613916.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 47563905.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 44072290.000000, 0.000000, 15.000000, 100000.000000
3.000000, 0.250000, 0.250000, 76561886.000000, 0.000000, 17.000000, 100000.000000
3.000000, 0.250000, 0.250000, 29899385.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 55780858.000000, 0.000000, 15.000000, 100000.000000
3.000000, 0.250000, 0.250000, 36325503.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 55525827.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 98259342.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 95828911.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 52273163.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 27613563.000000, 0.000000, 15.000000, 100000.000000
3.000000, 0.250000, 0.250000, 4264821.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 49427550.000000, 0.000000, 15.000000, 100000.000000
3.000000, 0.250000, 0.250000, 97264756.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 45060223.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 68655832.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 23258783.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 13396399.000000, 0.000000, 17.000000, 100000.000000
3.000000, 0.250000, 0.250000, 73128025.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 91409399.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 97310696.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 11305302.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 56398734.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 71116396.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 32390081.000000, 0.000000, 15.000000, 100000.000000
3.000000, 0.250000, 0.250000, 47673886.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 36524407.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 99804201.000000, 0.000000, 17.000000, 100000.000000
3.000000, 0.250000, 0.250000, 85597872.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 78402317.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 45366566.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 29927847.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 15981522.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 26533745.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 33177810.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 52155286.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 84816491.000000, 0.000000, 15.000000, 100000.000000
3.000000, 0.250000, 0.250000, 11445127.000000, 0.000000, 15.000000, 100000.000000
3.000000, 0.250000, 0.250000, 65935909.000000, 0.000000, 16.000000, 100000.000000
