W0, SFE_target, SFE_actual, seed, F_bound, n_iter, N_part
3.000000, 0.301250, 0.301250, 86154701.000000, 0.000000, 101.000000, 300000.000000
3.000000, 0.301250, 0.301250, 72078806.000000, 0.000000, 88.000000, 300000.000000
3.000000, 0.301250, 0.301250, 83828589.000000, 0.000000, 86.000000, 300000.000000
3.000000, 0.301250, 0.301250, 22133129.000000, 0.000000, 93.000000, 300000.000000
3.000000, 0.301250, 0.301250, 48487309.000000, 0.000000, 109.000000, 300000.000000
3.000000, 0.301250, 0.301250, 83168541.000000, 0.000000, 73.000000, 300000.000000
3.000000, 0.301250, 0.301250, 26455197.000000, 0.000000, 101.000000, 300000.000000
3.000000, 0.301250, 0.301250, 38041971.000000, 0.000000, 89.000000, 300000.000000
3.000000, 0.301250, 0.301250, 15492931.000000, 0.000000, 97.000000, 300000.000000
3.000000, 0.301250, 0.301250, 75043552.000000, 0.000000, 130.000000, 300000.000000
3.000000, 0.301250, 0.301250, 11582906.000000, 0.000000, 124.000000, 300000.000000
3.000000, 0.301250, 0.301250, 29846556.000000, 0.000000, 88.000000, 300000.000000
3.000000, 0.301250, 0.301250, 17510817.000000, 0.000000, 102.000000, 300000.000000
3.000000, 0.301250, 0.301250, 60759588.000000, 0.000000, 91.000000, 300000.000000
3.000000, 0.301250, 0.301250, 99391569.000000, 0.000000, 88.000000, 300000.000000
3.000000, 0.301250, 0.301250, 12971504.000000, 0.000000, 83.000000, 300000.000000
3.000000, 0.301250, 0.301250, 86393537.000000, 0.000000, 122.000000, 300000.000000
3.000000, 0.301250, 0.301250, 5217794.000000, 0.000000, 88.000000, 300000.000000
3.000000, 0.301250, 0.301250, 71019598.000000, 0.000000, 82.000000, 300000.000000
3.000000, 0.301250, 0.301250, 2379793.000000, 0.000000, 115.000000, 300000.000000
3.000000, 0.301250, 0.301250, 10325157.000000, 0.000000, 82.000000, 300000.000000
3.000000, 0.301250, 0.301250, 4818035.000000, 0.000000, 81.000000, 300000.000000
3.000000, 0.301250, 0.301250, 85311643.000000, 0.000000, 103.000000, 300000.000000
3.000000, 0.301250, 0.301250, 72536276.000000, 0.000000, 111.000000, 300000.000000
