W0, SFE_thr, err_lo, err_hi, err_sym, grid_halfwidth, n_seeds
3.000000, 0.302804, 0.000078, 0.000075, 0.000076, 0.000312, 150.000000
6.000000, 0.189698, 0.000094, 0.000102, 0.000098, 0.000313, 150.000000
9.000000, 0.047671, 0.000041, 0.000043, 0.000042, 0.000157, 150.000000
12.000000, 0.019348, 0.000044, 0.000038, 0.000041, 0.000125, 150.000000
